Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Tipus_sup,Superficie_m2
2026,1,Ciutat Vella,1,el Raval,1,Superfície_locals,146477
2026,1,Ciutat Vella,1,el Raval,2,Superfície_locals,105425
2026,1,Ciutat Vella,1,el Raval,3,Superfície_locals,132026
2026,1,Ciutat Vella,1,el Raval,4,Superfície_locals,197884
2026,1,Ciutat Vella,1,el Raval,5,Superfície_locals,208921
2026,1,Ciutat Vella,1,el Raval,6,Superfície_locals,118616
2026,1,Ciutat Vella,1,el Raval,7,Superfície_locals,105057
2026,1,Ciutat Vella,1,el Raval,8,Superfície_locals,92305
2026,1,Ciutat Vella,1,el Raval,9,Superfície_locals,82897
2026,1,Ciutat Vella,1,el Raval,10,Superfície_locals,85923
2026,1,Ciutat Vella,1,el Raval,11,Superfície_locals,119000
2026,1,Ciutat Vella,1,el Raval,12,Superfície_locals,73181
2026,1,Ciutat Vella,1,el Raval,13,Superfície_locals,57474
2026,1,Ciutat Vella,1,el Raval,14,Superfície_locals,57764
2026,1,Ciutat Vella,1,el Raval,15,Superfície_locals,84216
2026,1,Ciutat Vella,1,el Raval,16,Superfície_locals,80818
2026,1,Ciutat Vella,1,el Raval,17,Superfície_locals,69950
2026,1,Ciutat Vella,1,el Raval,18,Superfície_locals,126689
2026,1,Ciutat Vella,1,el Raval,19,Superfície_locals,181978
2026,1,Ciutat Vella,1,el Raval,20,Superfície_locals,247297
2026,1,Ciutat Vella,1,el Raval,21,Superfície_locals,271175
2026,1,Ciutat Vella,2,el Barri Gòtic,22,Superfície_locals,296955
2026,1,Ciutat Vella,2,el Barri Gòtic,23,Superfície_locals,341416
2026,1,Ciutat Vella,2,el Barri Gòtic,25,Superfície_locals,226382
2026,1,Ciutat Vella,2,el Barri Gòtic,26,Superfície_locals,199282
2026,1,Ciutat Vella,2,el Barri Gòtic,27,Superfície_locals,176282
2026,1,Ciutat Vella,2,el Barri Gòtic,28,Superfície_locals,232330
2026,1,Ciutat Vella,2,el Barri Gòtic,29,Superfície_locals,150126
2026,1,Ciutat Vella,2,el Barri Gòtic,30,Superfície_locals,264943
2026,1,Ciutat Vella,2,el Barri Gòtic,31,Superfície_locals,142988
2026,1,Ciutat Vella,3,la Barceloneta,32,Superfície_locals,90153
2026,1,Ciutat Vella,3,la Barceloneta,33,Superfície_locals,35103
2026,1,Ciutat Vella,3,la Barceloneta,34,Superfície_locals,28450
2026,1,Ciutat Vella,3,la Barceloneta,35,Superfície_locals,37089
2026,1,Ciutat Vella,3,la Barceloneta,36,Superfície_locals,336431
2026,1,Ciutat Vella,3,la Barceloneta,37,Superfície_locals,48218
2026,1,Ciutat Vella,3,la Barceloneta,38,Superfície_locals,38746
2026,1,Ciutat Vella,3,la Barceloneta,39,Superfície_locals,54237
2026,1,Ciutat Vella,3,la Barceloneta,40,Superfície_locals,43777
2026,1,Ciutat Vella,3,la Barceloneta,41,Superfície_locals,46735
2026,1,Ciutat Vella,3,la Barceloneta,42,Superfície_locals,93305
2026,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,Superfície_locals,332274
2026,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,Superfície_locals,128451
2026,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,Superfície_locals,152580
2026,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,Superfície_locals,185316
2026,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,Superfície_locals,163767
2026,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,Superfície_locals,103595
2026,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,Superfície_locals,100270
2026,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,Superfície_locals,97804
2026,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,Superfície_locals,84080
2026,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,Superfície_locals,292530
2026,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,Superfície_locals,100159
2026,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,Superfície_locals,68356
2026,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,Superfície_locals,144728
2026,2,L'Eixample,5,el Fort Pienc,1,Superfície_locals,169921
2026,2,L'Eixample,5,el Fort Pienc,2,Superfície_locals,102522
2026,2,L'Eixample,5,el Fort Pienc,3,Superfície_locals,69640
2026,2,L'Eixample,5,el Fort Pienc,4,Superfície_locals,78796
2026,2,L'Eixample,5,el Fort Pienc,5,Superfície_locals,155107
2026,2,L'Eixample,5,el Fort Pienc,6,Superfície_locals,109857
2026,2,L'Eixample,5,el Fort Pienc,7,Superfície_locals,94564
2026,2,L'Eixample,5,el Fort Pienc,8,Superfície_locals,143805
2026,2,L'Eixample,5,el Fort Pienc,9,Superfície_locals,123591
2026,2,L'Eixample,5,el Fort Pienc,10,Superfície_locals,71196
2026,2,L'Eixample,5,el Fort Pienc,11,Superfície_locals,61790
2026,2,L'Eixample,5,el Fort Pienc,12,Superfície_locals,85193
2026,2,L'Eixample,5,el Fort Pienc,13,Superfície_locals,135574
2026,2,L'Eixample,5,el Fort Pienc,14,Superfície_locals,60029
2026,2,L'Eixample,5,el Fort Pienc,15,Superfície_locals,87085
2026,2,L'Eixample,5,el Fort Pienc,16,Superfície_locals,129560
2026,2,L'Eixample,5,el Fort Pienc,17,Superfície_locals,131466
2026,2,L'Eixample,5,el Fort Pienc,18,Superfície_locals,107451
2026,2,L'Eixample,5,el Fort Pienc,19,Superfície_locals,121686
2026,2,L'Eixample,5,el Fort Pienc,20,Superfície_locals,105672
2026,2,L'Eixample,6,la Sagrada Família,21,Superfície_locals,73480
2026,2,L'Eixample,6,la Sagrada Família,22,Superfície_locals,82299
2026,2,L'Eixample,6,la Sagrada Família,23,Superfície_locals,57848
2026,2,L'Eixample,6,la Sagrada Família,24,Superfície_locals,57672
2026,2,L'Eixample,6,la Sagrada Família,25,Superfície_locals,59682
2026,2,L'Eixample,6,la Sagrada Família,26,Superfície_locals,122571
2026,2,L'Eixample,6,la Sagrada Família,27,Superfície_locals,110184
2026,2,L'Eixample,6,la Sagrada Família,28,Superfície_locals,118407
2026,2,L'Eixample,6,la Sagrada Família,29,Superfície_locals,63860
2026,2,L'Eixample,6,la Sagrada Família,30,Superfície_locals,64430
2026,2,L'Eixample,6,la Sagrada Família,31,Superfície_locals,67908
2026,2,L'Eixample,6,la Sagrada Família,32,Superfície_locals,92766
2026,2,L'Eixample,6,la Sagrada Família,33,Superfície_locals,57159
2026,2,L'Eixample,6,la Sagrada Família,34,Superfície_locals,53959
2026,2,L'Eixample,6,la Sagrada Família,35,Superfície_locals,71690
2026,2,L'Eixample,6,la Sagrada Família,36,Superfície_locals,74631
2026,2,L'Eixample,6,la Sagrada Família,37,Superfície_locals,68862
2026,2,L'Eixample,6,la Sagrada Família,38,Superfície_locals,155498
2026,2,L'Eixample,6,la Sagrada Família,39,Superfície_locals,81428
2026,2,L'Eixample,6,la Sagrada Família,40,Superfície_locals,73300
2026,2,L'Eixample,6,la Sagrada Família,41,Superfície_locals,107184
2026,2,L'Eixample,6,la Sagrada Família,42,Superfície_locals,106936
2026,2,L'Eixample,6,la Sagrada Família,43,Superfície_locals,83169
2026,2,L'Eixample,6,la Sagrada Família,44,Superfície_locals,69869
2026,2,L'Eixample,6,la Sagrada Família,45,Superfície_locals,66367
2026,2,L'Eixample,6,la Sagrada Família,46,Superfície_locals,85234
2026,2,L'Eixample,6,la Sagrada Família,47,Superfície_locals,100818
2026,2,L'Eixample,6,la Sagrada Família,48,Superfície_locals,71860
2026,2,L'Eixample,6,la Sagrada Família,49,Superfície_locals,133284
2026,2,L'Eixample,6,la Sagrada Família,50,Superfície_locals,92775
2026,2,L'Eixample,6,la Sagrada Família,51,Superfície_locals,112828
2026,2,L'Eixample,6,la Sagrada Família,52,Superfície_locals,98766
2026,2,L'Eixample,6,la Sagrada Família,53,Superfície_locals,136467
2026,2,L'Eixample,6,la Sagrada Família,54,Superfície_locals,129922
2026,2,L'Eixample,7,la Dreta de l'Eixample,55,Superfície_locals,109225
2026,2,L'Eixample,7,la Dreta de l'Eixample,56,Superfície_locals,162577
2026,2,L'Eixample,7,la Dreta de l'Eixample,57,Superfície_locals,97438
2026,2,L'Eixample,7,la Dreta de l'Eixample,58,Superfície_locals,98980
2026,2,L'Eixample,7,la Dreta de l'Eixample,59,Superfície_locals,133359
2026,2,L'Eixample,7,la Dreta de l'Eixample,60,Superfície_locals,146389
2026,2,L'Eixample,7,la Dreta de l'Eixample,61,Superfície_locals,112136
2026,2,L'Eixample,7,la Dreta de l'Eixample,62,Superfície_locals,128556
2026,2,L'Eixample,7,la Dreta de l'Eixample,63,Superfície_locals,146221
2026,2,L'Eixample,7,la Dreta de l'Eixample,64,Superfície_locals,136893
2026,2,L'Eixample,7,la Dreta de l'Eixample,65,Superfície_locals,177946
2026,2,L'Eixample,7,la Dreta de l'Eixample,66,Superfície_locals,132778
2026,2,L'Eixample,7,la Dreta de l'Eixample,67,Superfície_locals,103020
2026,2,L'Eixample,7,la Dreta de l'Eixample,68,Superfície_locals,107981
2026,2,L'Eixample,7,la Dreta de l'Eixample,69,Superfície_locals,148851
2026,2,L'Eixample,7,la Dreta de l'Eixample,70,Superfície_locals,158553
2026,2,L'Eixample,7,la Dreta de l'Eixample,71,Superfície_locals,187005
2026,2,L'Eixample,7,la Dreta de l'Eixample,72,Superfície_locals,167578
2026,2,L'Eixample,7,la Dreta de l'Eixample,73,Superfície_locals,202487
2026,2,L'Eixample,7,la Dreta de l'Eixample,74,Superfície_locals,178402
2026,2,L'Eixample,7,la Dreta de l'Eixample,75,Superfície_locals,182497
2026,2,L'Eixample,7,la Dreta de l'Eixample,76,Superfície_locals,251774
2026,2,L'Eixample,7,la Dreta de l'Eixample,77,Superfície_locals,823484
2026,2,L'Eixample,7,la Dreta de l'Eixample,78,Superfície_locals,445498
2026,2,L'Eixample,7,la Dreta de l'Eixample,79,Superfície_locals,501566
2026,2,L'Eixample,7,la Dreta de l'Eixample,80,Superfície_locals,427551
2026,2,L'Eixample,7,la Dreta de l'Eixample,81,Superfície_locals,465818
2026,2,L'Eixample,7,la Dreta de l'Eixample,82,Superfície_locals,217775
2026,2,L'Eixample,7,la Dreta de l'Eixample,83,Superfície_locals,461873
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,84,Superfície_locals,230457
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,85,Superfície_locals,252633
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,86,Superfície_locals,148193
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,87,Superfície_locals,116052
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,88,Superfície_locals,197862
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,89,Superfície_locals,188759
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,90,Superfície_locals,161520
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,91,Superfície_locals,242723
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,92,Superfície_locals,189650
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,93,Superfície_locals,135744
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,94,Superfície_locals,143747
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,95,Superfície_locals,109141
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,96,Superfície_locals,110441
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,97,Superfície_locals,72906
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,98,Superfície_locals,118202
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,99,Superfície_locals,103482
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,100,Superfície_locals,96552
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,101,Superfície_locals,142150
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,102,Superfície_locals,121113
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,103,Superfície_locals,257505
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,104,Superfície_locals,90270
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,105,Superfície_locals,136248
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,106,Superfície_locals,126145
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,107,Superfície_locals,163775
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,108,Superfície_locals,228575
2026,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,109,Superfície_locals,168197
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,110,Superfície_locals,290117
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,111,Superfície_locals,113056
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,112,Superfície_locals,103924
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,113,Superfície_locals,171024
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,114,Superfície_locals,102570
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,115,Superfície_locals,66606
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,116,Superfície_locals,69961
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,117,Superfície_locals,81771
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,118,Superfície_locals,125069
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,119,Superfície_locals,79781
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,120,Superfície_locals,68822
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,121,Superfície_locals,145740
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,122,Superfície_locals,78255
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,123,Superfície_locals,60840
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,124,Superfície_locals,77255
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,125,Superfície_locals,97737
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,126,Superfície_locals,136143
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,127,Superfície_locals,150938
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,128,Superfície_locals,66039
2026,2,L'Eixample,9,la Nova Esquerra de l'Eixample,129,Superfície_locals,95400
